# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAC1	YMR056C	YMR056C_mRNA	protein_coding	0	4	1	35	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	4	26
AAC3	YBR085W	YBR085W_mRNA	protein_coding	0	3	1	69	0	0	0	0	40	0	0	0	1	0	0	0	0	0	0	0	3	29
AAD10	YJR155W	YJR155W_mRNA	protein_coding	0	0	0	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12
AAD14	YNL331C	YNL331C_mRNA	protein_coding	0	7	4	61	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	7	53
AAD15	YOL165C	YOL165C_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AAD3	YCR107W	YCR107W_mRNA	protein_coding	0	0	2	12	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	4
AAD4	YDL243C	YDL243C_mRNA	protein_coding	0	2	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	3
AAD6	YFL056C	YFL056C	pseudogene	0	0	0	53	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	51
AAH1	YNL141W	YNL141W_mRNA	protein_coding	0	0	0	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	10
AAP1	YHR047C	YHR047C_mRNA	protein_coding	0	0	0	25	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	12
AAR2	YBL074C	YBL074C_mRNA	protein_coding	0	0	1	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3
AAT1	YKL106W	YKL106W_mRNA	protein_coding	0	3	3	93	0	0	0	0	42	0	0	0	3	0	0	0	0	0	0	0	3	51
AAT2	YLR027C	YLR027C_mRNA	protein_coding	0	3	2	16	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	3	6
